semester,year,dept,course_count
0910F,0910,AMST,3
0910F,0910,ANTH,7
0910F,0910,ARAB,2
0910F,0910,ARHA,16
0910F,0910,ASLC,12
0910F,0910,BIOL,12
0910F,0910,BLST,13
0910F,0910,CHEM,9
0910F,0910,CHIN,4
0910F,0910,CLAS,1
0910F,0910,COSC,6
0910F,0910,ECON,13
0910F,0910,ENGL,23
0910F,0910,ENST,4
0910F,0910,EUST,4
0910F,0910,FREN,7
0910F,0910,FYSE,26
0910F,0910,GEOL,5
0910F,0910,GERM,7
0910F,0910,GREE,4
0910F,0910,HIST,22
0910F,0910,JAPA,5
0910F,0910,KENA,1
0910F,0910,LATI,3
0910F,0910,LJST,11
0910F,0910,MATH,10
0910F,0910,MIXD,34
0910F,0910,MUSI,16
0910F,0910,PHIL,6
0910F,0910,PHYS,8
0910F,0910,POSC,15
0910F,0910,PSYC,14
0910F,0910,RELI,9
0910F,0910,RUSS,8
0910F,0910,SOCI,6
0910F,0910,SPAN,12
0910F,0910,THDA,13
0910F,0910,WAGS,3
0910S,0910,AMST,2
0910S,0910,ANTH,10
0910S,0910,ARAB,2
0910S,0910,ARHA,17
0910S,0910,ASLC,15
0910S,0910,BIOL,13
0910S,0910,BLST,16
0910S,0910,CHEM,8
0910S,0910,CHIN,4
0910S,0910,CLAS,1
0910S,0910,COLQ,1
0910S,0910,COSC,8
0910S,0910,ECON,13
0910S,0910,ENGL,31
0910S,0910,ENST,5
0910S,0910,EUST,9
0910S,0910,FREN,8
0910S,0910,GEOL,4
0910S,0910,GERM,8
0910S,0910,GREE,4
0910S,0910,HIST,19
0910S,0910,JAPA,5
0910S,0910,LATI,3
0910S,0910,LJST,9
0910S,0910,MATH,11
0910S,0910,MELL,1
0910S,0910,MIXD,40
0910S,0910,MUSI,15
0910S,0910,NEUR,1
0910S,0910,PHIL,7
0910S,0910,PHYS,8
0910S,0910,POSC,18
0910S,0910,PSYC,11
0910S,0910,RELI,10
0910S,0910,RUSS,10
0910S,0910,SOCI,7
0910S,0910,SPAN,12
0910S,0910,THDA,14
0910S,0910,WAGS,7
1011F,1011,AMST,2
1011F,1011,ANTH,7
1011F,1011,ARAB,2
1011F,1011,ARHA,13
1011F,1011,ASLC,10
1011F,1011,BIOL,12
1011F,1011,BLST,10
1011F,1011,CHEM,9
1011F,1011,CHIN,4
1011F,1011,CLAS,2
1011F,1011,COSC,6
