created_at,2526F,2526S,2223F,2223S,2324F,2324S,2425F,2425S,id,0910F,0910S,1011F,1011S,1112F,1112S,1213F,1213S,1314F,1314S,1415F,1415S,1516F,1516S,1617F,1617S,1718F,1718S,1819F,1819S,1920F,1920S,2021F,2021J,2021S,2122F,2122J,2122S
2025-06-12 02:32:04.659167+00,,,"[""COSC-211"",""ECON-361"",""ECON-420"",""LJST-253""]","[""ECON-225"",""ECON-479"",""MATH-271"",""LLAS-248""]","[""ECON-290"",""ECON-498"",""ENGL-304"",""RELI-172""]","[""ARHA-244"",""COSC-171"",""ECON-414"",""MATH-355""]",,,393864a8-862a-49d2-a7fb-5459a646e3f8,,,,,,,,,,,,,,,,,,,,,,,"[""FYSE-113"",""GEOL-111"",""MATH-121""]","[""ECON-220""]","[""COSC-111"",""ECON-331"",""MATH-211"",""POSC-113""]","[""ECON-301"",""ENGL-250"",""MATH-220"",""MATH-135""]",,"[""COSC-112"",""ECON-212"",""ECON-470"",""EDST-208""]"
2025-06-18 22:39:41.465912+00,,,"[""ARHA-323"",""ECON-360"",""ECON-414"",""ENGL-226""]","[""CHEM-100"",""ENGL-326"",""ENGL-372"",""ENGL-422""]","[""ECON-272"",""ENGL-192"",""ENGL-492"",""ENGL-498"",""MUSL-152H"",""THDA-122H""]","[""THDA-122H"",""ARHA-212"",""ENGL-309"",""ENGL-499"",""MUSL-152H""]",,,457775a4-2121-4fe2-ba91-4b878b094bc7,,,,,,,,,,,,,,,,,,,,,,,"[""COLQ-210"",""ECON-111"",""FYSE-107"",""MATH-121""]","[""ECON-220""]","[""ARHA-215"",""ECON-225"",""ECON-331"",""MATH-211"",""RUSS-226""]","[""EDST-345"",""COSC-111"",""ECON-301"",""ENGL-250""]","[""ARHA-227""]","[""ECON-470"",""ENGL-221"",""ENGL-295"",""GEOL-105""]"
2025-07-14 04:16:18.393144+00,,,"[""BIOL-221"",""MATH-345"",""MATH-490"",""RELI-285""]",,"[""ARHA-111"",""BIOL-201"",""BIOL-424"",""MATH-498""]","[""BIOL-230"",""BIOL-290"",""BIOL-380"",""MATH-499""]",,,6275144b-687c-43ba-8335-7be3dea63b5f,,,,,,,,,,,,,,,,,,,,,,,"[""CHEM-155"",""CHEM-155L"",""ECON-111"",""FYSE-105"",""MATH-271""]","[""MATH-135""]","[""BIOL-191"",""BIOL-191L"",""CHEM-165"",""CHEM-165L"",""MATH-350""]","[""BIOL-181"",""BIOL-181L"",""MATH-355"",""MATH-360"",""RUSS-252""]",,"[""ANTH-228"",""BIOL-291"",""MATH-365"",""MATH-450""]"
2025-06-12 02:19:12.883504+00,,,"[""ASTR-228"",""ENGL-426"",""MATH-280"",""BLST-204"",""MUSI-371"",""MUSL-152H"",""MUSL-154H"",""MUSI-132H"",""MUSI-133H"",""MUSI-229H"",""MUSI-329H""]","[""LJST-132"",""MATH-455"",""EUST-222"",""MUSI-372"",""MUSI-444"",""MUSL-152H"",""MUSI-132H"",""MUSI-133H"",""MUSI-229H"",""MUSI-329H"",""MUSL-154H""]","[""ENGL-192"",""ENGL-498"",""MUSI-371"",""MUSI-498D"",""MUSL-151H"",""MUSL-154H"",""MUSI-232H"",""MUSI-233H"",""MUSI-239H"",""MUSI-129H"",""MATH-360""]","[""ENGL-499"",""MATH-452"",""MUSI-310"",""MUSI-372"",""MUSI-499"",""MUSL-151H"",""MUSL-152H"",""MUSI-129"",""MUSI-232H"",""MUSI-239H""]","[""MUSL-151H"",""EUST-320"",""EUST-221"",""MUSI-129H"",""MUSI-233H"",""MUSI-232H"",""MUSI-239H""]","[""MUSI-129H"",""MUSI-239H"",""MUSI-232H"",""MUSI-233H"",""MUSL-178H""]",6f838f7d-4657-4411-b830-9733f576b93a,,,,,,,,,,,,,,,,,,,,,,,"[""ENGL-253"",""MATH-271"",""FYSE-119"",""MUSI-241"",""MUSL-136H""]","[""ANTH-449"",""COSC-112""]","[""COLQ-233"",""ASLC-233"",""ENGL-323"",""FREN-207"",""MATH-355"",""MUSL-154H"",""MUSL-136H"",""MUSL-139H""]","[""MUSL-136H"",""MUSL-139H"",""EDST-120"",""ENGL-226"",""FREN-355"",""MUSI-269"",""MUSI-443"",""MUSL-354H""]","[""EUST-223""]","[""MUSL-136H"",""MUSL-139H"",""ENGL-307"",""ENGL-471"",""MATH-350"",""MUSI-242"",""MUSI-388"",""MUSL-352H"",""MUSL-154H""]"
2025-06-08 20:46:33.045078+00,,,"[""COSC-171"",""COSC-247"",""COSC-311"",""PHYS-373""]","[""COSC-225"",""COSC-273"",""FREN-342"",""MATH-355"",""MATH-455""]","[""COSC-283"",""COSC-498"",""MATH-280"",""MATH-490""]","[""COSC-461"",""COSC-499"",""ECON-111E"",""FREN-360""]",,,746f6825-2d1c-491d-b175-df006bf2be77,,,,,,,,,,,,,,,,,,,,,,,"[""FYSE-113"",""MATH-121"",""MUSI-113"",""PHYS-123"",""PHYS-123L""]","[""GEOL-104""]","[""COSC-112"",""MATH-211"",""PHYS-124"",""PHYS-124L""]","[""MATH-220"",""MATH-271"",""PHYS-125"",""PHYS-125L"",""PHYS-225""]","[""ASLC-431""]","[""COSC-211"",""MATH-350"",""PHYS-226"",""PHYS-230""]"
2025-06-13 18:54:46.314593+00,,,"[""ANTH-325"",""BLST-416"",""HIST-363"",""MATH-271""]","[""ARCH-204"",""ECON-471"",""ENST-490"",""PSYC-220""]","[""AMST-390"",""ARHA-111"",""ECON-412"",""ECON-498""]","[""AMST-355"",""ECON-499"",""AMST-490"",""MATH-355""]",,,7759be91-43ec-45c6-8c24-7bff546d2c05,,,,,,,,,,,,,,,,,,,,,,,"[""FYSE-112"",""RUSS-317"",""ECON-240"",""COSC-112""]","[""PSYC-100""]","[""ECON-360"",""HIST-263"",""MATH-121"",""POSC-224""]","[""ARHA-218"",""COSC-211"",""ECON-301"",""MATH-211""]",,"[""ECON-262"",""ECON-331"",""ENGL-114"",""SWAG-200"",""COSC-211""]"
2025-06-12 01:37:24.830235+00,,,"[""GERM-102"",""NEUR-211"",""THDA-218""]","[""GERM-205"",""PSYC-220"",""PSYC-338""]","[""LJST-103"",""ENGL-123"",""EUST-121"",""EDST-120"",""AMST-220"",""ENGL-120""]","[""THDA-115H"",""THDA-220H"",""GERM-390"",""PSYC-366"",""GERM-320""]",,,9ff14a8c-c778-4ae2-b400-3ff094877d53,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""AMST-219"",""ASLC-173"",""PSYC-208"",""GERM-101""]"
2025-06-08 20:36:14.989852+00,,,"[""COLQ-390H"",""ECON-300"",""ECON-361"",""ECON-420"",""MATH-272""]",,"[""ECON-421"",""ECON-490"",""ECON-498"",""RELI-172""]","[""ECON-499"",""LJST-110"",""MATH-355"",""SOCI-316""]",,,b3f663ba-6139-4b9f-832f-4d0698a6d4e4,,,,,,,,,,,,,,,,,,,,,,,"[""CHIN-101"",""ECON-111"",""FYSE-123"",""STAT-135""]","[""ECON-220""]","[""CHIN-102"",""COSC-111"",""SOCI-241"",""SOCI-328""]","[""ANTH-112"",""CHIN-201"",""ECON-223"",""MATH-211"",""SOCI-325""]","[""ASLC-431""]","[""ECON-262"",""ARCH-220"",""ASLC-220"",""CHIN-202"",""ECON-331"",""SOCI-315""]"
2025-08-13 03:36:05.13704+00,,,"[""COSC-383"",""COSC-490"",""ECON-361"",""LJST-253"",""LJST-349""]","[""COSC-452"",""LJST-209"",""LJST-356"",""MATH-355"",""MUSL-163H""]","[""COSC-311"",""ECON-490"",""LJST-498"",""MUSL-163H"",""THDA-120H""]",,,,f7fa96b4-654a-405e-80b1-9c5f740cbda3,,,,,,,,,,,,,,,,,,,,,,,"[""ECON-250"",""ENGL-315"",""FYSE-102"",""MATH-211""]","[""COSC-112""]","[""COSC-211"",""ECON-225"",""LJST-110"",""ACCO-223"",""THDA-112""]","[""ARHA-263"",""COSC-241"",""ECON-301"",""LJST-103""]","[""LJST-132""]","[""COSC-171"",""COSC-454"",""LJST-143"",""MATH-220""]"
2025-08-16 23:36:41.049477+00,,,"[""CHEM-221"",""CHEM-221L"",""BIOL-191"",""BIOL-191L"",""BIOL-221"",""ARHA-121""]","[""CHEM-231"",""CHEM-231L"",""MATH-135"",""STAT-135"",""PSYC-228"",""HIST-252"",""SWAG-252""]","[""PHYS-116"",""ENGL-226"",""PSYC-208""]",,"[""PHYS-117"",""BIOL-181"",""BIOL-181L"",""PSYC-323""]","[""BIOL-330"",""CHEM-330"",""BCBP-400"",""BIOL-400"",""CHEM-400"",""PHYS-400"",""NEUR-211"",""PSYC-211"",""PSYC-342""]",fa4f5e87-3bd4-458e-92de-bd6413c5199b,,,,,,,,,,,,,,,,,,,,,,,,,,"[""CHEM-151"",""PSYC-100"",""FYSE-105"",""ENGL-287"",""FAMS-212""]",,"[""ENGL-284"",""FAMS-216"",""MATH-121"",""CHEM-161"",""PSYC-220""]"
